Year,Month,Day,Hour,Minute,Location,Latitude,Longitude,Magnitude,Deaths,Injuries,Damage in Millions,Damage Scale,Number of Houses Destroyed ,Scale of houses destroyed,Number of Houses Damaged,Scale of houses  damaged
2017,5,1,12,31,ALASKA: SKAGWAY; CANADA: BRITISH COLUMBIA,59.852,-136.677,6.2,,,,,,,,
1988,11,25,23,46,"CANADA: QUEBEC: SAGUENAY, QUEBEC CITY",48.117,-71.183,5.8,,,,2,,,,
2010,6,23,17,41,"CANADA: QUEBEC: VAL-DES-BOIS, GRACEFIELD",45.88,-75.48,5.2,,,,1,,,,
2001,10,12,5,2,CANADA: QUEEN CHARLOTTE ISLANDS,52.63,-132.2,6.1,,,,,,,,
2012,10,28,3,4,CANADA: QUEEN CHARLOTTE ISLANDS,52.788,-132.101,7.7,,,,1,,,,1
1970,6,24,13,9,"CANADA: QUEEN CHARLOTTE ISLANDS, BRITISH COLOMBIA",51.8,-131,7.5,,,,,,,,
2004,11,2,10,2,CANADA: VANCOUVER ISLAND,49.277,-128.772,6.6,,,,,,,,
1982,1,11,21,41,"CANADA; MAINE: CARIBOU, HAYNESVILLE, PRESQUE ISLE",46.975,-66.659,4.5,,,,1,,,,
1968,9,25,10,38,MEXICO-GUATEMALA: S CHIAPAS,15.5,-92.7,5.7,20,,,2,,,,
1950,12,14,14,15,MEXICO: ACAPULCO,16.48,-98.22,7.5,,,,3,,,,
1978,3,19,1,39,MEXICO: ACAPULCO,17.03,-99.74,6.6,1,25,,2,,,,
2002,9,25,18,14,MEXICO: ACAPULCO,16.87,-100.113,5.3,,2,,1,,,,2
1957,7,28,8,40,"MEXICO: ACAPULCO,MEXICO CITY",16.5,-99.1,7.9,65,,25,4,,3,,
2008,2,9,7,12,MEXICO: BAJA CALIFORNIA,32.456,-115.315,5.1,,,,1,,,,
2010,4,4,22,40,MEXICO: BAJA CALIFORNIA,32.297,-115.278,7.2,2,233,1150,4,,,,3
1954,2,5,15,17,MEXICO: CHIAPAS,17.3,-92.6,6.2,6,,17,3,,,,
1982,3,28,4,16,MEXICO: CHIAPAS,17.25,-93.21,3.5,10,200,,1,,,,
2019,2,1,16,14,MEXICO: CHIAPAS; GUATEMALA: SAN MARCOS,14.763,-92.298,6.6,,4,,2,,,,3
2015,12,17,19,49,MEXICO: COCOTITLAN,15.802,-93.633,6.6,2,,,,,,,
1982,6,7,10,59,"MEXICO: GUERERRO, ORZIBA, OAXACA, GUADALUPE",16.558,-98.358,7,9,,,2,,,,
